,,,,externalizing,externalizing,externalizing,externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing,non-externalizing
,,,,alpha,alpha,delta,delta,alpha,alpha,beta,beta,gamma,gamma,delta,delta
,,,,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched,matched,unmatched
generation,learning_step,game_round,metric,,,,,,,,,,,,
0,0,0,shares,0.0,0.005,0.0,0.005,0.0,0.2475,0.0,0.2475,0.0,0.2475,0.0,0.2475
0,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,1,shares,0.0012625,0.0037375000000000004,0.0012625,0.0037375000000000004,0.06249375,0.18500624999999998,0.06125625,0.18624374999999999,0.06125625,0.18624374999999999,0.06249375,0.18500624999999998
0,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,2,shares,0.0022031043743124773,0.0027968956256875233,0.0022031043743124773,0.0027968956256875233,0.10905366652846762,0.13844633347153237,0.10750677090278009,0.1399932290972199,0.10750677090278009,0.1399932290972199,0.10905366652846762,0.13844633347153237
0,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,3,shares,0.002905436092177578,0.002094563907822422,0.002905436092177578,0.002094563907822422,0.1438190865627901,0.10368091343720989,0.14234952265496767,0.1051504773450323,0.14234952265496767,0.1051504773450323,0.1438190865627901,0.10368091343720989
0,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,4,shares,0.0034306286828787664,0.0015693713171212337,0.0034306286828787664,0.0015693713171212337,0.16981611980249892,0.07768388019750107,0.16855924848537768,0.0789407515146223,0.16855924848537768,0.0789407515146223,0.16981611980249892,0.07768388019750107
0,0,4,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,5,shares,0.003823746555029236,0.001176253444970764,0.003823746555029236,0.001176253444970764,0.18927545447394717,0.058224545526052815,0.1882554510289764,0.05924454897102358,0.1882554510289764,0.05924454897102358,0.18927545447394717,0.058224545526052815
0,0,5,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,6,shares,0.004118197183037891,0.0008818028169621092,0.004118197183037891,0.0008818028169621092,0.20385076056037557,0.0436492394396244,0.20304708274341346,0.04445291725658651,0.20304708274341346,0.04445291725658651,0.20385076056037557,0.0436492394396244
0,0,6,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,7,shares,0.004338841435771462,0.0006611585642285387,0.004338841435771462,0.0006611585642285387,0.2147726510706873,0.03272734892931266,0.21415055500645877,0.0333494449935412,0.21415055500645877,0.0333494449935412,0.2147726510706873,0.03272734892931266
0,0,7,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,8,shares,0.004504227822778437,0.0004957721772215632,0.004504227822778437,0.0004957721772215632,0.2229592772275326,0.024540722772467372,0.22248303630031102,0.025016963699688935,0.22248303630031102,0.025016963699688935,0.2229592772275326,0.024540722772467372
0,0,8,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,9,shares,0.004628219230626516,0.000371780769373484,0.004628219230626516,0.000371780769373484,0.2290968519160125,0.018403148083987457,0.22873483677163903,0.01876516322836094,0.22873483677163903,0.01876516322836094,0.2290968519160125,0.018403148083987457
0,0,9,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,10,shares,0.0047211886015971535,0.00027881139840284697,0.0047211886015971535,0.00027881139840284697,0.23369883577905903,0.013801164220940923,0.2334249071931562,0.014075092806843768,0.2334249071931562,0.014075092806843768,0.23369883577905903,0.013801164220940923
0,0,10,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,11,shares,0.004790903539463472,0.00020909646053652832,0.004790903539463472,0.00020909646053652832,0.2371497252034418,0.01035027479655815,0.23694307014915528,0.010556929850844679,0.23694307014915528,0.010556929850844679,0.2371497252034418,0.01035027479655815
0,0,11,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,12,shares,0.004843183698381066,0.00015681630161893488,0.004843183698381066,0.00015681630161893488,0.23973759306986267,0.007762406930137275,0.23958199747136874,0.007918002528631209,0.23958199747136874,0.007918002528631209,0.23973759306986267,0.007762406930137275
0,0,12,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,13,shares,0.004882390795561083,0.00011760920443891783,0.004882390795561083,0.00011760920443891783,0.24167834438027352,0.005821655619726431,0.2415613455273971,0.005938654472602849,0.2415613455273971,0.005938654472602849,0.24167834438027352,0.005821655619726431
0,0,13,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,0,14,shares,0.004911794607519638,8.82053924803625e-05,0.004911794607519638,8.82053924803625e-05,0.243133833072222,0.0043661669277779425,0.2430459328555229,0.004454067144477054,0.2430459328555229,0.004454067144477054,0.243133833072222,0.0043661669277779425
0,0,14,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
0,1,0,shares,0.0,0.0057939716719615465,0.0,0.004206028328038455,0.0,0.2868015977620964,0.0,0.45137333364846766,0.0,0.04362666635153223,0.0,0.2081984022379034
0,1,0,payoffs,2.0,0.6724444715711806,1.0,1.6724444715711804,2.0,0.6724444715711806,3.0,1.6724444715711804,0.0,0.6724444715711806,1.0,1.6724444715711804
0,1,1,shares,0.00169529044064239,0.004098681231319156,0.0008933790519612287,0.0033126492760772257,0.08391687681179827,0.20288472095029814,0.01969191382706054,0.4316814198214071,0.01969191382706054,0.02393475252447169,0.044222263072080804,0.1639761391658226
0,1,1,payoffs,2.0,0.5565041396166791,1.0,1.556504139616679,2.0,0.5565041396166791,3.0,1.556504139616679,0.0,0.5565041396166791,1.0,1.556504139616679
0,1,2,shares,0.0027175471965762777,0.003076424475385269,0.0015611424628675361,0.002644885865170918,0.13451858623052568,0.15228301153157073,0.03214200761542105,0.41923132603304664,0.03214200761542105,0.01148465873611118,0.07727655191194302,0.13092185032596038
0,1,2,payoffs,2.0,0.4636862727614252,1.0,1.4636862727614253,2.0,0.4636862727614252,3.0,1.4636862727614253,0.0,0.4636862727614252,1.0,1.4636862727614253
0,1,3,shares,0.0033816989097389142,0.0024122727622226323,0.002052037512843069,0.002153990815195385,0.16739409603207617,0.11940750173002024,0.038832456006142616,0.41254087764232505,0.038832456006142616,0.004794210345389612,0.10157585688573188,0.10662254535217151
0,1,3,payoffs,2.0,0.3908252790402267,1.0,1.3908252790402265,2.0,0.3908252790402267,3.0,1.3908252790402265,0.0,0.3908252790402267,1.0,1.3908252790402265
0,1,4,shares,0.0038352384735279707,0.001958733198433576,0.0024136555179319237,0.0017923728101065302,0.18984430443963446,0.09695729332246195,0.04188495160616753,0.40948838204230015,0.04188495160616753,0.0017417147453647002,0.11947594813763018,0.08872245410027321
0,1,4,payoffs,2.0,0.3351566011726602,1.0,1.33515660117266,2.0,0.3351566011726602,3.0,1.33515660117266,0.0,0.3351566011726602,1.0,1.33515660117266
0,1,5,shares,0.0041577999866960775,0.001636171685265469,0.002683751842000483,0.001522276486037971,0.20581109934145572,0.08099049842064068,0.04307233019769848,0.4083010034507692,0.04307233019769848,0.000554336153833749,0.13284571617902385,0.07535268605887954
0,1,5,payoffs,2.0,0.292706908933132,1.0,1.292706908933132,2.0,0.292706908933132,3.0,1.292706908933132,0.0,0.292706908933132,1.0,1.292706908933132
0,1,6,shares,0.004395663556027462,0.0013983081159340846,0.002889652277043594,0.00131637605099486,0.21758534602335924,0.06921625173873716,0.04347055880913116,0.4079027748393365,0.04347055880913116,0.00015610754240107094,0.14303778771365785,0.06516061452424556
0,1,6,payoffs,2.0,0.25963720520982786,1.0,1.259637205209828,2.0,0.25963720520982786,3.0,1.259637205209828,0.0,0.25963720520982786,1.0,1.259637205209828
0,1,7,shares,0.004576789546588704,0.0012171821253728421,0.0030501744248187055,0.0011558539032197486,0.22655108255614073,0.06025051520595567,0.043587364549136406,0.4077859690993313,0.043587364549136406,3.930180239582239e-05,0.15098363402852588,0.05721476820937754
0,1,7,payoffs,2.0,0.23312959339655545,1.0,1.2331295933965554,2.0,0.23312959339655545,3.0,1.2331295933965554,0.0,0.23312959339655545,1.0,1.2331295933965554
0,1,8,shares,0.004718579474581482,0.0010753921973800638,0.003178036025726236,0.0010279923023122182,0.23356968399178327,0.05323191377031314,0.043617737544110025,0.4077555961043577,0.043617737544110025,8.928807422202282e-06,0.15731278327344864,0.05088561896445478
0,1,8,payoffs,2.0,0.21135320311138794,1.0,1.211353203111388,2.0,0.21135320311138794,3.0,1.211353203111388,0.0,0.21135320311138794,1.0,1.211353203111388
0,1,9,shares,0.004832204585935847,0.0009617670860256988,0.003281865411524835,0.0009241629165136194,0.23919412700382434,0.047607470758272076,0.043624820957168846,0.40774851269129886,0.043624820957168846,1.8453943633841177e-06,0.16245233787047927,0.04574606436742414
0,1,9,payoffs,2.0,0.1931294869081523,1.0,1.1931294869081521,2.0,0.1931294869081523,3.0,1.1931294869081521,0.0,0.1931294869081523,1.0,1.1931294869081521
0,1,10,shares,0.004925073849281032,0.0008688978226805141,0.0033676144493194546,0.0008384138787190001,0.24379115553941097,0.043010442222685435,0.04362631692542163,0.4077470167230461,0.04362631692542163,3.4942611060538106e-07,0.16669691524131294,0.04150148699659049
0,1,10,payoffs,2.0,0.17766257412324749,1.0,1.1776625741232476,2.0,0.17766257412324749,3.0,1.1776625741232476,0.0,0.17766257412324749,1.0,1.1776625741232476
0,1,11,shares,0.005002258546546785,0.0007917131254147607,0.003439478336491949,0.0007665499915465059,0.24761179805406577,0.039189799708030645,0.04362660536081812,0.4077467282876496,0.04362660536081812,6.099071411239668e-08,0.1702541776563514,0.03794422458155203
0,1,11,payoffs,2.0,0.16438471225064719,1.0,1.1643847122506472,2.0,0.16438471225064719,3.0,1.1643847122506472,0.0,0.16438471225064719,1.0,1.1643847122506472
0,1,12,shares,0.005067331214433377,0.0007266404575281687,0.003500480310519189,0.0007055480175192658,0.25083289511445206,0.035968702647644346,0.04362665648492662,0.40774667716354107,0.04362665648492662,9.866605612030573e-09,0.17327377537069977,0.03492462686720364
0,1,12,payoffs,2.0,0.1528743076064825,1.0,1.1528743076064825,2.0,0.1528743076064825,3.0,1.1528743076064825,0.0,0.1528743076064825,1.0,1.1528743076064825
0,1,13,shares,0.005122873527910955,0.0006710981440505899,0.003552844931905115,0.0006531833961333402,0.2535822396315922,0.033219358130504195,0.043626664865073626,0.40774666878339405,0.043626664865073626,1.4864586026433977e-09,0.17586582412930307,0.032332578108600324
0,1,13,payoffs,2.0,0.14281004399225042,1.0,1.1428100439922504,2.0,0.14281004399225042,3.0,1.1428100439922504,0.0,0.14281004399225042,1.0,1.1428100439922504
0,1,14,shares,0.005170793303546652,0.0006231783684148928,0.003598240449622911,0.0006077878784155441,0.2559542685255592,0.030847329236537192,0.0436266661420844,0.4077466675063833,0.0436266661420844,2.094478246686311e-10,0.17811290225633397,0.030085499981569418
0,1,14,payoffs,2.0,0.13394257110760963,1.0,1.1339425711076097,2.0,0.13394257110760963,3.0,1.1339425711076097,0.0,0.13394257110760963,1.0,1.1339425711076097
0,2,0,shares,0.0,0.006430690824460367,0.0,0.00356930917553963,0.0,0.3223666748709661,0.0,0.4861784861086871,0.0,0.0025275103842826918,0.0,0.17892732863606373
0,2,0,payoffs,2.0,0.6626497521594187,1.0,1.6626497521594188,2.0,0.6626497521594187,3.0,1.6626497521594188,0.0,0.6626497521594187,1.0,1.6626497521594188
0,2,1,shares,0.0021143942026843198,0.004316296621776048,0.0006513869238460887,0.002917922251693541,0.10599331348556773,0.21637336138539837,0.0012288211722545456,0.48494966493643255,0.0012288211722545456,0.0012986892120281461,0.03265363588869346,0.14627369274737026
0,2,1,payoffs,2.0,0.5185858313465193,1.0,1.5185858313465193,2.0,0.5185858313465193,3.0,1.5185858313465193,0.0,0.5185858313465193,1.0,1.5185858313465193
0,2,2,shares,0.003227031816316577,0.003203659008143791,0.001159872460806956,0.0024094367147326737,0.16176916986458995,0.16059750500637615,0.0019644561488441447,0.484214029959843,0.0019644561488441447,0.000563054235438547,0.05814371094354696,0.12078361769251676
0,2,2,payoffs,2.0,0.4259402175038249,1.0,1.425940217503825,2.0,0.4259402175038249,3.0,1.425940217503825,0.0,0.4259402175038249,1.0,1.425940217503825
0,2,3,shares,0.003906978159048033,0.002523712665412335,0.0015444758624654005,0.002024833313074229,0.1958544722963714,0.1265122025745947,0.0023177198158179594,0.48386076629286917,0.0023177198158179594,0.00020979056846473222,0.07742364884152536,0.10150367979453837
0,2,3,payoffs,2.0,0.36070163605196254,1.0,1.3607016360519626,2.0,0.36070163605196254,3.0,1.3607016360519626,0.0,0.36070163605196254,1.0,1.3607016360519626
0,2,4,shares,0.004361393001060423,0.002069297823399945,0.0018369929548764184,0.001732316220663211,0.21863401583691197,0.10373265903405413,0.002459367136020676,0.48371911897266645,0.002459367136020676,6.814324826201528e-05,0.09208735527642087,0.08683997335964286
0,2,4,payoffs,2.0,0.31222680365658845,1.0,1.3122268036565885,2.0,0.31222680365658845,3.0,1.3122268036565885,0.0,0.31222680365658845,1.0,1.3122268036565885
0,2,5,shares,0.00468423019580126,0.0017464606286591083,0.0020632446839736907,0.0015060644915659384,0.23481765082017322,0.08754902405079287,0.002507972359986325,0.4836705137487008,0.002507972359986325,1.9538024296366664e-05,0.10342921878437684,0.07549810985168688
0,2,5,payoffs,2.0,0.2748198047455582,1.0,1.2748198047455581,2.0,0.2748198047455582,3.0,1.2748198047455581,0.0,0.2748198047455582,1.0,1.2748198047455581
0,2,6,shares,0.004924158683467294,0.0015065321409930745,0.002241667897071563,0.0013276412784680662,0.24684512203392253,0.07552155283704357,0.002522510999740314,0.4836559751089468,0.002522510999740314,4.999384542377578e-06,0.11237346746561888,0.06655386117044484
0,2,6,payoffs,2.0,0.24510560636891382,1.0,1.2451056063689139,2.0,0.24510560636891382,3.0,1.2451056063689139,0.0,0.24510560636891382,1.0,1.2451056063689139
0,2,7,shares,0.005108776438113663,0.0013219143863467053,0.0023850444567695894,0.0011842647187700396,0.25609989936843824,0.06626677550252787,0.0025263577949169776,0.48365212831377014,0.0025263577949169776,1.1525893657140556e-06,0.11956084842762772,0.059366480208436004
0,2,7,payoffs,2.0,0.22095667614735312,1.0,1.2209566761473531,2.0,0.22095667614735312,3.0,1.2209566761473531,0.0,0.22095667614735312,1.0,1.2209566761473531
0,2,8,shares,0.005254816852166967,0.0011758739722934016,0.0025022542715811874,0.0010670549039584415,0.26342081775189874,0.05894585711906738,0.002527268973303834,0.4836512171353833,0.002527268973303834,2.4141097885783605e-07,0.1254365061593501,0.05349082247671364
0,2,8,payoffs,2.0,0.20096557179268532,1.0,1.2009655717926853,2.0,0.20096557179268532,3.0,1.2009655717926853,0.0,0.20096557179268532,1.0,1.2009655717926853
0,2,9,shares,0.0053729714703315305,0.0010577193541288384,0.0025995519948946583,0.0009697571806449709,0.26934383790915456,0.05302283696181155,0.0025274641139545377,0.4836510219947326,0.0025274641139545377,4.6270328153755064e-08,0.130313982684543,0.04861334595152074
0,2,9,payoffs,2.0,0.18416225588907917,1.0,1.1841622558890792,2.0,0.18416225588907917,3.0,1.1841622558890792,0.0,0.18416225588907917,1.0,1.1841622558890792
0,2,10,shares,0.005470367378178339,0.0009603234462820303,0.0026814221882206475,0.0008878869873189814,0.27422623636612736,0.048140438504838734,0.0025275022173605033,0.4836509838913266,0.0025275022173605033,8.166922188215232e-09,0.13441808638257097,0.04450924225349276
0,2,10,payoffs,2.0,0.16985510667083886,1.0,1.169855106670839,2.0,0.16985510667083886,3.0,1.169855106670839,0.0,0.16985510667083886,1.0,1.169855106670839
0,2,11,shares,0.005551925285316195,0.0008787655391441735,0.002751140424270777,0.0008181687512688521,0.27831468534480647,0.04405198952615966,0.0025275090494068257,0.4836509770592803,0.0025275090494068257,1.334875865667978e-09,0.1379130197492727,0.041014308886791015
0,2,11,payoffs,2.0,0.15753729667334038,1.0,1.1575372966733402,2.0,0.15753729667334038,3.0,1.1575372966733402,0.0,0.15753729667334038,1.0,1.1575372966733402
0,2,12,shares,0.005621144456982951,0.0008095463674774174,0.0028111424812422544,0.0007581666942973749,0.2817846009132333,0.0405820739577328,0.0025275101812405076,0.4836509759274466,0.0025275101812405076,2.0304218389318464e-10,0.14092088688506157,0.038006441751002144
0,2,12,payoffs,2.0,0.1468289875278218,1.0,1.1468289875278217,2.0,0.1468289875278218,3.0,1.1468289875278217,0.0,0.1468289875278218,1.0,1.1468289875278217
0,2,13,shares,0.005680576893438179,0.0007501139310221893,0.0028632702915739184,0.0007060388839657109,0.28476391331411516,0.03760276155685095,0.0025275103554162712,0.4836509757532708,0.0025275103554162712,2.8866420368448425e-11,0.14353402275858307,0.03539330587748065
0,2,13,payoffs,2.0,0.13744008559513016,1.0,1.13744008559513,2.0,0.13744008559513016,3.0,1.13744008559513,0.0,0.13744008559513016,1.0,1.13744008559513
0,2,14,shares,0.005732124754842276,0.0006985660696180924,0.0029089384426766196,0.0006603707328630097,0.2873479766956637,0.035018698175302426,0.0025275103804318464,0.4836509757282552,0.0025275103804318464,3.850845333258585e-12,0.14582333978848677,0.03310398884757695
0,2,14,payoffs,2.0,0.1291453957960422,1.0,1.1291453957960422,2.0,0.1291453957960422,3.0,1.1291453957960422,0.0,0.1291453957960422,1.0,1.1291453957960422
1,0,0,shares,0.0,0.00581066553084201,0.0,0.00581066553084201,0.0,0.2470946672345798,0.0,0.2470946672345798,0.0,0.2470946672345798,0.0,0.2470946672345798
1,0,0,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,1,shares,0.0014695482996661604,0.0043411172311758495,0.0014695482996661604,0.0043411172311758495,0.062491559041522385,0.18460310819305742,0.061055774575767524,0.18603889265881227,0.061055774575767524,0.18603889265881227,0.062491559041522385,0.18460310819305742
1,0,1,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,2,shares,0.0025632362460908066,0.0032474292847512035,0.0025632362460908066,0.0032474292847512035,0.10899990782633161,0.1380947594082482,0.1072051449242909,0.1398895223102889,0.1072051449242909,0.1398895223102889,0.10899990782633161,0.1380947594082482
1,0,2,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,3,shares,0.003379287112287595,0.002431378418554415,0.003379287112287595,0.002431378418554415,0.14370192537649107,0.10339274185808874,0.1419968801492919,0.10509778708528789,0.1419968801492919,0.10509778708528789,0.14370192537649107,0.10339274185808874
1,0,3,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,4,shares,0.003989224897843521,0.001821440632998489,0.003989224897843521,0.001821440632998489,0.1696391219602185,0.07745554527436131,0.1681808479228976,0.07891381931168218,0.1681808479228976,0.07891381931168218,0.1696391219602185,0.07745554527436131
1,0,4,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,5,shares,0.004445630449333602,0.0013650350815084078,0.004445630449333602,0.0013650350815084078,0.18904746292750774,0.05804720430707207,0.18786401114383813,0.059230656090741664,0.18786401114383813,0.059230656090741664,0.18904746292750774,0.05804720430707207
1,0,5,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,6,shares,0.004787411517254869,0.0010232540135871407,0.004787411517254869,0.0010232540135871407,0.20358147435818236,0.04351319287639745,0.20264901199351462,0.04444565524106518,0.20264901199351462,0.04444565524106518,0.20358147435818236,0.04351319287639745
1,0,6,payoffs,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0
1,0,7,shares,0.005043486036397889,0.0007671794944441211,0.005043486036397889,0.0007671794944441211,0.21447087209739976,0.03262379513718004,0.21374908842741533,0.03334557880716446,0.21374908842741533,0.03334557880716446,0.21447087209739976,0.03262379513718004
