,,,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7
,,,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior,externalization,behavior
simulation_number,generation,learning_step,,,,,,,,,,,,,,,,
0,0,0,1.0,delta,0.0,delta,0.0,gamma,0.0,alpha,0.0,delta,0.0,delta,0.0,gamma,0.0,alpha
0,0,1,1.0,delta,0.0,delta,0.0,gamma,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,gamma
0,0,2,1.0,alpha,0.0,alpha,0.0,gamma,0.0,alpha,0.0,gamma,0.0,alpha,0.0,delta,0.0,alpha
0,0,3,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,gamma,0.0,alpha,0.0,alpha,0.0,alpha
0,0,4,1.0,alpha,0.0,gamma,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,gamma
0,0,5,1.0,alpha,0.0,gamma,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,6,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,7,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,8,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,9,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,10,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,11,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,12,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,13,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,0,14,1.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha,0.0,alpha
0,1,0,0.0,delta,0.0,gamma,0.0,beta,0.0,alpha,0.0,delta,0.0,gamma,0.0,delta,0.0,alpha
1,0,0,1.0,delta,0.0,gamma,0.0,alpha,0.0,gamma,0.0,beta,0.0,beta,0.0,delta,0.0,alpha
1,0,1,1.0,alpha,0.0,beta,0.0,alpha,0.0,gamma,0.0,delta,0.0,delta,0.0,alpha,0.0,alpha
